a,b
1546.20500,0.09953
1546.21000,0.14623
1546.21500,0.18899
1546.22000,0.21398
1546.22500,0.22681
1546.23000,0.23536
1546.23500,0.24062
1546.24000,0.24884
1546.24500,0.26068
1546.25000,0.27877
1546.25500,0.29489
1546.26000,0.30442
1546.26500,0.30706
1546.27000,0.30311
1546.27500,0.29752
1546.28000,0.29226
1546.28500,0.28930
1546.29000,0.29489
1546.29500,0.30837
1546.30000,0.32416
1546.30500,0.33106
1546.31000,0.32810
1546.31500,0.32153
1546.32000,0.31462
1546.32500,0.31100
1546.33000,0.30969
1546.33500,0.31133
1546.34000,0.31692
1546.34500,0.32317
